Voltage,Current,Temperature,Average Voltage,Average Current,SOC
0.3851479254349629,0.751020092788658,0.3031010818699048,0.3851479254349629,0.751020092788658,0.2064166666666667
0.3854603132517704,0.751020092788658,0.4560702944872444,0.3853041193433666,0.751020092788658,0.2064166666666667
0.3854962075572794,0.751020092788658,0.6220888127344746,0.3853681487480042,0.751020092788658,0.2064166666666667
0.3856468224940488,0.751020092788658,0.7702595908793349,0.3854378171845153,0.751020092788658,0.2064166666666667
0.3864306587833766,0.751020092788658,0.8466684381486693,0.3856363855042876,0.751020092788658,0.2064166666666667
0.3877750790909867,0.751020092788658,0.8570699203051504,0.3859928344354041,0.751020092788658,0.2064166666666667
0.3891483559893717,0.751020092788658,0.854742065629548,0.3866595728611389,0.751020092788658,0.2064166666666667
0.390238173734012,0.751020092788658,0.8764583893135838,0.3874558829415125,0.751020092788658,0.2064166666666667
0.3911699138889414,0.751020092788658,0.900068916520986,0.3884015006634562,0.751020092788658,0.2064166666666667
0.3919688098268959,0.751020092788658,0.9065133363619862,0.3894551652189308,0.751020092788658,0.2064166666666667
0.39265276776357,0.751020092788658,0.9065133363619862,0.3904921833822963,0.751020092788658,0.2064166666666667
0.3933670306557097,0.751020092788658,0.903680643902232,0.3914241753097501,0.751020092788658,0.2064166666666667
0.3939199456060194,0.751020092788658,0.909346298217124,0.3922194402458581,0.751020092788658,0.2064166666666667
0.3944332709604932,0.751020092788658,0.912347629132107,0.3929186231169383,0.751020092788658,0.2064166666666667
0.3948351460358254,0.751020092788658,0.9150122219273996,0.3935294951414189,0.751020092788658,0.2064166666666667
0.3952338643449635,0.751020092788658,0.913728349221756,0.3940736708944302,0.751020092788658,0.2064166666666667
0.3956319305440437,0.751020092788658,0.9145870783264258,0.3945701980245091,0.751020092788658,0.2064166666666667
0.3960279060702074,0.751020092788658,0.914578636423704,0.3950136772602587,0.751020092788658,0.2064166666666667
0.3963102991306746,0.751020092788658,0.916552869174172,0.3954120695143679,0.751020092788658,0.2064166666666667
0.3966836704811519,0.751020092788658,0.9178451837825377,0.3957871361011444,0.751020092788658,0.2064166666666667
0.3969891024573442,0.751020092788658,0.9151890328899668,0.3961461288380642,0.751020092788658,0.2064166666666667
0.3971969958356254,0.751020092788658,0.9160477619946364,0.3964733174198412,0.751020092788658,0.2064166666666667
0.3975163492948793,0.751020092788658,0.9159677984160752,0.3967873872116471,0.751020092788658,0.2064166666666667
0.397710321190099,0.751020092788658,0.9150921855059612,0.3970677897316291,0.751020092788658,0.2064166666666667
0.3979112587277651,0.751020092788658,0.9178451837825377,0.3973346163311442,0.751020092788658,0.2064166666666667
